City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,7.88,89,100,89,TF,1707864826
1,woolgoolga,-30.1106,153.2007,27.93,64,0,64,AU,1707864826
2,sinabang,2.4803,96.3801,27.27,78,62,78,ID,1707864826
3,port mathurin,-19.6833,63.4167,27.42,80,81,80,MU,1707864826
4,vilyuysk,63.7553,121.6247,-38.33,100,96,100,RU,1707864827
5,enewetak,11.3474,162.3373,26.15,78,94,78,MH,1707864827
6,west island,-12.1568,96.8225,27.99,74,40,74,CC,1707864827
7,isoka,-10.1606,32.6335,17.77,98,97,98,ZM,1707864827
8,pandan,14.0453,124.1694,25.07,86,68,86,PH,1707864827
9,buncrana,55.1333,-7.45,4.6,90,100,90,IE,1707864827
10,ilulissat,69.2167,-51.1,-22.99,49,4,49,GL,1707864827
11,invercargill,-46.4,168.35,22.79,50,0,50,NZ,1707864828
12,punta arenas,-53.15,-70.9167,18.06,48,75,48,CL,1707864828
13,puerto natales,-51.7236,-72.4875,11.38,96,96,96,CL,1707864828
14,tabou,4.423,-7.3528,27.37,87,11,87,CI,1707864828
15,port saint john's,-31.6229,29.5448,22.52,91,35,91,ZA,1707864828
16,iskateley,67.6803,53.1512,-29.43,98,8,98,RU,1707864828
17,bredasdorp,-34.5322,20.0403,17.63,87,15,87,ZA,1707864829
18,yanam,16.7333,82.2167,19.31,89,19,89,IN,1707864829
19,san antonio de pale,-1.4014,5.6325,28.6,79,96,79,GQ,1707864829
20,dudinka,69.4058,86.1778,-37.4,99,23,99,RU,1707864829
21,jamestown,42.097,-79.2353,-0.25,91,100,91,US,1707864543
22,harstad,68.799,16.5293,-0.34,61,100,61,NO,1707864829
23,ushuaia,-54.8,-68.3,12.81,58,20,58,AR,1707864829
24,klyuchi,52.2667,79.1667,-6.86,60,100,60,RU,1707864830
25,edinburgh of the seven seas,-37.0676,-12.3116,18.0,81,36,81,SH,1707864830
